distance,p,shots,logical_errors,logical_error_rate,ci_lo,ci_hi
3,0.001,200000,152,0.00076,0.0006484337045480975,0.0008907447309125141
3,0.001192699881804259,200000,224,0.00112,0.0009826800454611232,0.001276484560505125
3,0.0014225330080558918,200000,309,0.001545,0.001382174589149863,0.0017269736903299847
3,0.0016966549505709192,200000,433,0.002165,0.0019706359526189387,0.002378488509398394
3,0.002023600159008544,200000,601,0.003005,0.002774469829744946,0.003254622363452206
3,0.0024135476704685702,200000,835,0.004175,0.0039017732778376807,0.004467273969502791
3,0.0028786380212968057,200000,1214,0.00607,0.005738939688542819,0.0064200347618759345
3,0.003433351227757946,200000,1720,0.0086,0.0082046496497468,0.009014227610058791
3,0.004094957603539406,200000,2379,0.011895,0.01142914385919978,0.012379606822317125
3,0.0048840554497349,200000,3268,0.01634,0.015793582628040977,0.016904997297635806
3,0.005825212357624257,200000,4600,0.023,0.022352124278146004,0.02366619980188506
3,0.00694773009042316,200000,6165,0.030825,0.03007644608638389,0.031591577394221096
3,0.008286556857655588,200000,8693,0.043465,0.042580097090765594,0.04436744082092619
3,0.009883375384690092,200000,11513,0.057565,0.05655265993746723,0.05859433631902867
3,0.01178790065314699,200000,15678,0.07839,0.07722008240899635,0.07957611384966588
3,0.014059427715728755,200000,20883,0.104415,0.10308237010514144,0.1057628263963241
3,0.0167686777747852,200000,27068,0.13534,0.13384774267308874,0.13684626583639575
3,0.02,200000,34668,0.17334,0.17168724960923437,0.17500529912028956
5,0.001,200000,20,0.0001,6.473801828711995e-05,0.00015446577124649067
5,0.001192699881804259,200000,49,0.000245,0.0001853397451102809,0.0003238584742103223
5,0.0014225330080558918,200000,77,0.000385,0.0003080852525551297,0.0004811075886287768
5,0.0016966549505709192,200000,124,0.00062,0.0005200777409581352,0.0007391060726391731
5,0.002023600159008544,200000,200,0.001,0.0008707311306743416,0.0011484380851233614
5,0.0024135476704685702,200000,368,0.00184,0.0016615031457984542,0.0020376338011790685
5,0.0028786380212968057,200000,554,0.00277,0.002549009997999596,0.0030100912227841543
5,0.003433351227757946,200000,948,0.00474,0.00444834319342811,0.005050682349289264
5,0.004094957603539406,200000,1609,0.008045,0.007662822523710174,0.008446076056565893
5,0.0048840554497349,200000,2634,0.01317,0.012679630532256545,0.013679071169801157
5,0.005825212357624257,200000,4224,0.02112,0.020498974280926847,0.021759422019797005
5,0.00694773009042316,200000,6777,0.033885,0.03310093552366007,0.03468697040624283
5,0.008286556857655588,200000,10592,0.05296,0.051987038290077524,0.053950134868700435
5,0.009883375384690092,200000,16311,0.081555,0.08036354210669638,0.08276253256766125
5,0.01178790065314699,200000,24328,0.12164,0.12021469370641255,0.123079841092163
5,0.014059427715728755,200000,34481,0.172405,0.17075581248069627,0.17406677216709776
5,0.0167686777747852,200000,47103,0.235515,0.23366042550912589,0.23737973475147575
5,0.02,200000,60884,0.30442,0.3024070264832796,0.3064404867736857
7,0.001,200000,3,1.5e-05,5.101274135386657e-06,4.4105780695504146e-05
7,0.001192699881804259,200000,11,5.5e-05,3.071213226833309e-05,9.849338595207293e-05
7,0.0014225330080558918,200000,14,7e-05,4.1699337800454135e-05,0.00011750560419102006
7,0.0016966549505709192,200000,28,0.00014,9.686713829323531e-05,0.00020233511462989048
7,0.002023600159008544,200000,46,0.00023,0.00017245114762843574,0.0003067476479210993
7,0.0024135476704685702,200000,131,0.000655,0.000552053465004586,0.000777129004058548
7,0.0028786380212968057,200000,235,0.001175,0.0010341344179316083,0.0013350280751952238
7,0.003433351227757946,200000,458,0.00229,0.0020898549451817093,0.002509264714927858
7,0.004094957603539406,200000,965,0.004825,0.004530668883637841,0.005138353393782254
7,0.0048840554497349,200000,1815,0.009075,0.008668717693845635,0.009500141318710449
7,0.005825212357624257,200000,3511,0.017555,0.016988630921497116,0.018139902329636196
7,0.00694773009042316,200000,6500,0.0325,0.031731779090313876,0.03328618004472706
7,0.008286556857655588,200000,11661,0.058305,0.05728650919140283,0.05934045863779911
7,0.009883375384690092,200000,19971,0.099855,0.09854871575475105,0.10117665592030978
7,0.01178790065314699,200000,32344,0.16172,0.1601128196917738,0.163340175423096
7,0.014059427715728755,200000,47802,0.23901,0.23714589820336757,0.24088412779589297
7,0.0167686777747852,200000,65181,0.325905,0.3238541400845125,0.3279625478205461
7,0.02,200000,81269,0.406345,0.4041942571620133,0.40849934061936044
9,0.001,200000,1,5e-06,8.82600616654357e-07,2.8324838366857648e-05
9,0.001192699881804259,200000,1,5e-06,8.82600616654357e-07,2.8324838366857648e-05
9,0.0014225330080558918,200000,1,5e-06,8.82600616654357e-07,2.8324838366857648e-05
9,0.0016966549505709192,200000,3,1.5e-05,5.101274135386657e-06,4.4105780695504146e-05
9,0.002023600159008544,200000,15,7.5e-05,4.545304684855831e-05,0.0001237517030666053
9,0.0024135476704685702,200000,40,0.0002,0.00014688699761448756,0.0002723129503929111
9,0.0028786380212968057,200000,82,0.00041,0.00033035479516015554,0.0005088370856421979
9,0.003433351227757946,200000,242,0.00121,0.0010669211524004035,0.0013722399961922543
9,0.004094957603539406,200000,506,0.00253,0.002319183573478072,0.0027599268669685874
9,0.0048840554497349,200000,1195,0.005975,0.005646598663540322,0.006322379436328335
9,0.005825212357624257,200000,2810,0.01405,0.013543424358761881,0.014575243537865159
9,0.00694773009042316,200000,6009,0.030045,0.02930580483708035,0.03080224860742908
9,0.008286556857655588,200000,12639,0.063195,0.06213699940080263,0.06426978057776753
9,0.009883375384690092,200000,23872,0.11936,0.11794638584832026,0.12078823653705292
9,0.01178790065314699,200000,40850,0.20425,0.20248879476334303,0.20602256655042878
9,0.014059427715728755,200000,61540,0.3077,0.30568091414153115,0.30972647311337437
9,0.0167686777747852,200000,80681,0.403405,0.40125681057095636,0.40555690015128804
9,0.02,200000,93212,0.46606,0.46387438054542823,0.4682469232685679
