family,log_r2,loglog_r2,best_model,log_params,loglog_params
complete,0.6805949008498582,0.7372608744269789,loglog,"(np.float64(0.14907848758188563), np.float64(0.9500000000215878))","(np.float64(0.9520753974157855), np.float64(0.14903323747052313))"
regular3,0.9723011363636364,0.9665939692578387,log,"(np.float64(0.17793238788492646), np.float64(1.0500000031410703))","(np.float64(1.0885960857071757), np.float64(0.18082519143109685))"
regular10,0.7022292993630577,0.7514580614463338,loglog,"(np.float64(0.10098865265748605), np.float64(1.3300000014191589))","(np.float64(0.6410259274404453), np.float64(0.794551783636888))"
erdos_renyi,0.6436170212765941,0.7030284025289426,loglog,"(np.float64(0.05289882051741287), np.float64(1.6633333187834594))","(np.float64(0.3392413281594062), np.float64(1.3765592164771017))"
smallworld_low_rewiring,0.7986725663716823,0.765303092321699,log,"(np.float64(0.0913706859229675), np.float64(1.5433333333333348))","(np.float64(0.5488192663553102), np.float64(1.1155259006946054))"
smallworld_high_rewiring,0.9241877256317689,0.8960465557054029,log,"(np.float64(0.15388747219825216), np.float64(1.166666659435347))","(np.float64(0.9297765171771591), np.float64(0.43624146267296815))"
torus,0.9494280002643325,0.9744835385170858,loglog,"(np.float64(0.17669292789790214), np.float64(0.9322977438111605))","(np.float64(1.0909481439247604), np.float64(0.05161002727538752))"
cycle,0.9256425948592402,0.8935328458673985,log,"(np.float64(0.26449408373446587), np.float64(0.6566667127440566))","(np.float64(1.5945556650484163), np.float64(-0.5923924465408367))"
path,0.9795984455958548,0.9612535332754826,log,"(np.float64(0.2644940903743711), np.float64(0.6433333363278849))","(np.float64(1.6076852385252118), np.float64(-0.6295966364863007))"
