quantity,exponent,exponent_ci95_lo,exponent_ci95_hi,c,r_squared,n
on_sphere,-0.16429309923847704,-0.3122526025248736,-0.016333595952080504,0.031010442045283023,0.4961888084507195,9
general_l2,0.10315049253151928,-0.11722815557203581,0.3235291406350744,0.005633134130229213,0.14893376906399083,9
ceiling_realized,0.0995245456197318,-0.24439586687177822,0.4434449581112418,0.013563327274131107,0.03991522543681521,12
ceiling_fixed_p_minor,-0.5309203408736277,-0.5456072235533221,-0.5162334581939333,0.7030302049980627,0.9984609699055743,12
