d,sphere,on_sphere_found,on_sphere_dist,general_l2_found,general_l2_dist,radial_found,radial_dist
16,outer,True,0.014083792232971949,True,0.004092407226562515,False,inf
32,outer,True,0.046362112038415074,True,0.022892761230468763,False,inf
32,outer,True,0.000685497656692135,True,0.0002883911132812429,False,inf
64,inner,True,0.002684465572711128,True,0.0012359619140625035,False,inf
64,inner,True,0.02550562609175939,True,0.015106201171874986,False,inf
64,inner,True,0.017655576895895447,True,0.008651733398437491,False,inf
64,inner,True,0.00886829736877359,True,0.004627990722656249,False,inf
64,inner,True,0.0400836495709546,True,0.019665527343749982,False,inf
64,inner,True,0.025437821472570045,True,0.013307189941406247,False,inf
64,inner,True,0.00995435523972515,True,0.005218505859374985,False,inf
64,outer,True,0.014202416393679454,True,0.009777832031250018,False,inf
64,outer,True,0.0077274168425726965,True,0.005328369140625006,False,inf
64,outer,True,0.05365196334988869,True,0.03639221191406251,False,inf
64,outer,True,0.004486891577467006,True,0.002911376953125009,False,inf
64,outer,True,0.004910881058366065,True,0.0032409667968750096,False,inf
64,outer,True,0.08056934671944177,True,0.054766845703125004,False,inf
64,outer,True,0.03346382564863256,True,0.022879028320312484,False,inf
64,outer,True,0.014333060388786905,True,0.008843994140625,False,inf
64,outer,True,0.03227987887414317,True,0.022535705566406248,False,inf
64,outer,True,0.004673845195781328,True,0.0032821655273437425,False,inf
64,outer,True,0.011404151852470745,True,0.007278442382812505,False,inf
64,outer,True,0.027481712805998273,True,0.018292236328125,False,inf
64,outer,True,0.03518775061167307,True,0.02548828125000001,False,inf
64,outer,True,0.000436225785299317,True,0.000274658203125005,False,inf
64,outer,True,0.012027325219347577,True,0.008267211914062475,False,inf
64,outer,True,0.015018547131044144,True,0.00906372070312499,False,inf
64,outer,True,0.0013086773044274015,True,0.0008651733398437526,False,inf
64,outer,True,0.0030535798038710343,True,0.0019775390624999977,False,inf
64,outer,True,0.004985434505607229,True,0.003186035156250019,False,inf
64,outer,True,0.011404151852487198,True,0.007827758789062505,False,inf
64,outer,True,0.04580133841287176,True,0.031050109863281265,False,inf
64,outer,True,0.005670930728767979,True,0.003804016113281261,False,inf
64,outer,True,0.009970850681231125,True,0.006509399414062514,False,inf
64,outer,True,0.10883768134517727,True,0.07061462402343752,False,inf
64,outer,True,0.06106599436229968,True,0.04203643798828127,False,inf
64,outer,True,0.018632913385149406,True,0.012194824218750011,False,inf
64,outer,True,0.015953300087793894,True,0.010711669921875,False,inf
64,outer,True,0.021256197984020994,True,0.01422729492187502,False,inf
64,outer,True,0.056517946360233565,True,0.03937225341796877,False,inf
64,outer,True,0.07906931041382928,True,0.05516510009765627,False,inf
64,outer,True,0.004486891577383373,True,0.002925109863281253,False,inf
64,outer,True,0.0268216732720146,True,0.01803131103515625,False,inf
64,outer,True,0.02230955931156127,True,0.01459808349609375,False,inf
64,outer,True,0.008163640591635025,True,0.005451965332031263,False,inf
64,outer,True,0.04929056087979933,True,0.033343505859375004,False,inf
64,outer,True,0.05097283322796785,True,0.0365020751953125,False,inf
64,outer,True,0.013335986998001538,True,0.00888519287109374,False,inf
64,outer,True,0.0024927183985309297,True,0.0016067504882812604,False,inf
64,outer,True,0.010780977830477696,True,0.007374572753906261,False,inf
64,outer,True,0.030223534498036102,True,0.019789123535156262,False,inf
128,inner,True,0.04829673196026382,True,0.03445587158203126,False,inf
128,inner,True,0.009587343205520453,True,0.007347106933593744,False,inf
128,inner,True,0.030051842706727065,True,0.0226043701171875,False,inf
128,inner,True,0.005781155613449174,True,0.004353332519531244,False,inf
128,inner,True,0.003399781738873669,True,0.0025817871093749946,False,inf
128,inner,True,0.0381075290249558,True,0.02823486328125002,False,inf
128,inner,True,0.022158096556995906,True,0.016383361816406258,False,inf
128,inner,True,0.0022050969357834457,True,0.0017028808593750075,False,inf
128,inner,True,0.02027911413945155,True,0.014982604980468753,False,inf
128,inner,True,0.0074302023492869235,True,0.005451965332031239,False,inf
128,inner,True,0.004985432397679439,True,0.003790283203125004,False,inf
128,inner,True,0.0018695388128901983,True,0.0013732910156249959,False,inf
128,inner,True,0.007019680820077291,True,0.005355834960937492,False,inf
128,inner,True,0.011701293796234802,True,0.008885192871093758,False,inf
