p,d,alpha,n50_interp,n50_logistic,logistic_steepness
10,2,0.0011111111111111111,186.75,340.4888769239945,0.005177986918789601
20,2,0.0002631578947368421,341.0,767.9569282743362,0.0034276891617992643
35,2,8.403361344537815e-05,492.1428571428571,886.7622014965406,0.0018892236318247548
55,2,3.3670033670033675e-05,617.0,1084.1870793284322,0.0031678030532230747
80,2,1.5822784810126583e-05,925.0,2251.6770920090344,0.0009663852394261752
