instance_id,n,redundancy_mult,seed,curvature,k,k_over_n,opt_val,greedy_val,ratio,curvature_bound,worst_case_bound
n10_mult0.0000_s1001,10,0.0,1001,0.0,2,0.2,15.391919575227725,15.391919575227725,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1001,10,0.0,1001,0.0,4,0.4,24.7150861323661,24.7150861323661,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1001,10,0.0,1001,0.0,6,0.6,30.02649739101785,30.02649739101785,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1002,10,0.0,1002,0.0,2,0.2,16.291659274878725,16.291659274878725,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1002,10,0.0,1002,0.0,4,0.4,26.91001055783307,26.91001055783307,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1002,10,0.0,1002,0.0,6,0.6,35.84282826512532,35.84282826512531,0.9999999999999998,1.0,0.6321205588285577
n10_mult0.0000_s1003,10,0.0,1003,0.0,2,0.2,17.504209767693343,17.504209767693343,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1003,10,0.0,1003,0.0,4,0.4,32.37242784515082,32.37242784515082,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1003,10,0.0,1003,0.0,6,0.6,45.69741715899189,45.69741715899189,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1004,10,0.0,1004,0.0,2,0.2,16.958717864717435,16.958717864717435,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1004,10,0.0,1004,0.0,4,0.4,29.589072115385303,29.589072115385303,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1004,10,0.0,1004,0.0,6,0.6,37.483210022395696,37.48321002239569,0.9999999999999998,1.0,0.6321205588285577
n10_mult0.0000_s1005,10,0.0,1005,0.0,2,0.2,19.165556412574794,19.165556412574794,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1005,10,0.0,1005,0.0,4,0.4,35.13013514848564,35.13013514848564,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1005,10,0.0,1005,0.0,6,0.6,47.34839947907854,47.34839947907853,0.9999999999999999,1.0,0.6321205588285577
n10_mult0.0000_s1006,10,0.0,1006,0.0,2,0.2,15.271614198985002,15.271614198985002,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1006,10,0.0,1006,0.0,4,0.4,27.0798373560811,27.0798373560811,1.0,1.0,0.6321205588285577
n10_mult0.0000_s1006,10,0.0,1006,0.0,6,0.6,35.93971899898406,35.93971899898406,1.0,1.0,0.6321205588285577
n10_mult0.0200_s1007,10,0.02,1007,0.18853463463748488,2,0.2,17.85834375965248,17.858343759652477,0.9999999999999998,0.9113878774540266,0.6321205588285577
n10_mult0.0200_s1007,10,0.02,1007,0.18853463463748488,4,0.4,31.054428055476833,31.05442805547683,0.9999999999999999,0.9113878774540266,0.6321205588285577
n10_mult0.0200_s1007,10,0.02,1007,0.18853463463748488,6,0.6,40.548024837314394,40.54802483731439,0.9999999999999998,0.9113878774540266,0.6321205588285577
n10_mult0.0200_s1008,10,0.02,1008,0.17446956812602965,2,0.2,20.515139795311384,20.515139795311384,1.0,0.9176247071331928,0.6321205588285577
n10_mult0.0200_s1008,10,0.02,1008,0.17446956812602965,4,0.4,37.5892504803619,37.58925048036191,1.0000000000000004,0.9176247071331928,0.6321205588285577
