instance_id,n,redundancy_mult,curvature,curvature_bound,min_ratio,mean_ratio
n14_mult2.0000_s1131,14,2.0,0.9784276762188175,0.6378584146645508,0.995519153924084,0.9985063846413613
n14_mult2.0000_s1132,14,2.0,0.9790318200051372,0.6376966955860864,0.9996583345387847,0.9996757498369493
n14_mult3.5000_s1133,14,3.5,0.9846383082487304,0.6361987681138811,0.9697033063556426,0.9725710795687871
n14_mult3.5000_s1134,14,3.5,0.9820365162130306,0.6368932725068027,0.9897414813510851,0.9965804937836951
n14_mult3.5000_s1135,14,3.5,0.9744166658548724,0.6389336049828079,0.9821385133944335,0.9870851031654682
n14_mult3.5000_s1136,14,3.5,0.97890371912623,0.6377309810546136,0.99357185709511,0.9960799707651952
n14_mult3.5000_s1137,14,3.5,0.9814969684998652,0.6370374334284008,0.9831214566951447,0.9876048898410806
n14_mult3.5000_s1138,14,3.5,0.9565730473919158,0.6437487539621508,0.9906594588824865,0.9946303945242713
n14_mult6.0000_s1139,14,6.0,0.9931624429931639,0.6339310828778925,0.979325248258558,0.9842123125303995
n14_mult6.0000_s1140,14,6.0,0.9813645724740041,0.6370728153559906,0.971905202000073,0.978486951407123
n14_mult6.0000_s1141,14,6.0,0.9834360566347069,0.636519552135302,0.986026843017806,0.9912319206694998
n14_mult6.0000_s1142,14,6.0,0.9901232993033887,0.6347382409270712,0.9999999999999997,0.9999999999999999
n14_mult6.0000_s1143,14,6.0,0.9926332274081752,0.634071528557505,1.0,1.0
n14_mult6.0000_s1144,14,6.0,0.9931135569745586,0.6339440545805936,0.9671886865696732,0.9760581343466371
n14_mult12.0000_s1145,14,12.0,0.9929092309790002,0.6339982758129445,0.9963058774659037,0.9983030185360099
n14_mult12.0000_s1146,14,12.0,0.9933191667302745,0.6338894994830633,0.993142970164005,0.9962076518504451
n14_mult12.0000_s1147,14,12.0,0.9967021728151664,0.6329928543822062,0.9999999999999997,0.9999999999999999
n14_mult12.0000_s1148,14,12.0,0.9954409439738402,0.6333269197531541,0.9841695277826694,0.987601924317027
n14_mult12.0000_s1149,14,12.0,0.9889850310349634,0.6350409349010363,0.9893729091883835,0.9917070070138575
n14_mult12.0000_s1150,14,12.0,0.9893476619844589,0.6349444795151339,0.9951728020812549,0.9956316558934576
n14_mult30.0000_s1151,14,30.0,0.9966721723506637,0.6330007977189757,0.998783244524352,0.9995882408253666
n14_mult30.0000_s1152,14,30.0,0.9965571274445709,0.6330312599382558,0.9992871438764829,0.9993520285438281
n14_mult30.0000_s1153,14,30.0,0.9980882935402453,0.6326260038840458,0.9992048997227658,0.9992434779022568
n14_mult30.0000_s1154,14,30.0,0.9961111744925414,0.6331493619396872,0.9959893695446104,0.9979813358342259
n14_mult30.0000_s1155,14,30.0,0.9982254227164776,0.6325897280985734,0.995802994407425,0.9963131392618728
n14_mult30.0000_s1156,14,30.0,0.9982986089653082,0.632570368841665,0.994088677217294,0.9951079910444166
n18_mult0.0000_s1157,18,0.0,0.0,1.0,0.9999999999999999,1.0
n18_mult0.0000_s1158,18,0.0,0.0,1.0,0.9999999999999999,1.0
n18_mult0.0000_s1159,18,0.0,0.0,1.0,1.0,1.0
n18_mult0.0000_s1160,18,0.0,0.0,1.0,1.0,1.0
n18_mult0.0000_s1161,18,0.0,0.0,1.0,1.0,1.0
n18_mult0.0000_s1162,18,0.0,0.0,1.0,1.0,1.0
n18_mult0.0200_s1163,18,0.02,0.16009850697656614,0.9240570184042233,0.9999999999999997,1.0
n18_mult0.0200_s1164,18,0.02,0.26182462154579333,0.8798026993937752,1.0,1.0
n18_mult0.0200_s1165,18,0.02,0.26739865022227527,0.8774618093496508,1.0,1.0000000000000002
n18_mult0.0200_s1166,18,0.02,0.213045554238665,0.9006556253578731,0.9999999999999998,1.0
n18_mult0.0200_s1167,18,0.02,0.24113033483967505,0.888568373706181,1.0000000000000002,1.0000000000000002
n18_mult0.0200_s1168,18,0.02,0.11217961277253097,0.9459500458632105,1.0000000000000002,1.0000000000000002
n18_mult0.0500_s1169,18,0.05,0.5331123348933219,0.7751164083387017,0.9999999999999998,1.0
n18_mult0.0500_s1170,18,0.05,0.2924967912456986,0.8670261266158493,0.9999999999999997,0.9999999999999999
n18_mult0.0500_s1171,18,0.05,0.30087410179609164,0.8635806318137261,1.0000000000000002,1.0000000000000002
n18_mult0.0500_s1172,18,0.05,0.4103655852421627,0.8202255217346833,1.0,1.0000000000000002
n18_mult0.0500_s1173,18,0.05,0.3355028579382683,0.8495353464557706,0.9999999999999998,1.0
n18_mult0.0500_s1174,18,0.05,0.5350718686471347,0.7744245658998382,1.0,1.0000000000000002
n18_mult0.1000_s1175,18,0.1,0.45753696242724373,0.8024697300433478,1.0,1.0000000000000002
n18_mult0.1000_s1176,18,0.1,0.7610435451209465,0.7001193990429416,1.0,1.0
n18_mult0.1000_s1177,18,0.1,0.6416888328383425,0.738048270352726,0.9999999999999998,1.0
n18_mult0.1000_s1178,18,0.1,0.6448355939018108,0.737011414344047,1.0,1.0
n18_mult0.1000_s1179,18,0.1,0.5903202794285114,0.7552683551630198,0.9999999999999997,0.9999999999999999
n18_mult0.1000_s1180,18,0.1,0.6837899774406959,0.7243443996464791,1.0000000000000002,1.0000000000000002
n18_mult0.2000_s1181,18,0.2,0.7425688912887183,0.7058067897407038,0.9999999999999997,0.9999999999999999
n18_mult0.2000_s1182,18,0.2,0.8647353464165148,0.6693805245990152,0.9621261550833448,0.9808511803632883
n18_mult0.2000_s1183,18,0.2,0.6998649534334465,0.7192067942115041,1.0,1.0
n18_mult0.2000_s1184,18,0.2,0.5749790882663599,0.7605204656297017,0.9999999999999998,0.9999999999999999
n18_mult0.2000_s1185,18,0.2,0.8127979886421207,0.6845303625898437,1.0,1.0
n18_mult0.2000_s1186,18,0.2,0.8206030383352493,0.6822225076510958,0.9999999999999998,1.0
n18_mult0.4000_s1187,18,0.4,0.6717840340973018,0.7282154518277603,0.9999999999999997,1.0
n18_mult0.4000_s1188,18,0.4,0.8313381949096559,0.6790664086090661,0.9620335829935375,0.9782192381725151
n18_mult0.4000_s1189,18,0.4,0.8130633339223141,0.6844517200765782,0.9999999999999998,1.0
n18_mult0.4000_s1190,18,0.4,0.9267146589587785,0.6519244177866166,0.9837647634834592,0.9945882544944865
n18_mult0.4000_s1191,18,0.4,0.9311365265677667,0.65070420758969,0.9999999999999999,1.0
n18_mult0.4000_s1192,18,0.4,0.8434040100767983,0.6755440078477905,0.994193579634441,0.9980645265448137
n18_mult0.7000_s1193,18,0.7,0.9133662179289026,0.6556280169357152,0.9623718015132785,0.984971422375405
n18_mult0.7000_s1194,18,0.7,0.8817804909530035,0.6645133958852463,1.0,1.0
n18_mult0.7000_s1195,18,0.7,0.873972329889932,0.6667366271842922,0.974880989351245,0.9837988082779551
n18_mult0.7000_s1196,18,0.7,0.9403836905123092,0.6481631085642955,0.9356375901080273,0.9677237342714532
n18_mult0.7000_s1197,18,0.7,0.9397535490382184,0.6483358139964965,1.0000000000000002,1.0000000000000002
n18_mult0.7000_s1198,18,0.7,0.9387171714795215,0.6486200029750171,0.9841229841011726,0.9896255776678166
n18_mult1.2000_s1199,18,1.2,0.9770052024267715,0.638239421963023,0.9500996411722118,0.9651144845553282
