n,num_edges,ranking_adversarial_mean,ranking_adversarial_lo,ranking_adversarial_hi,ranking_rom_mean,ranking_rom_lo,ranking_rom_hi,rom_minus_adversarial_mean,rom_minus_adversarial_lo,rom_minus_adversarial_hi,greedy_adversarial,greedy_rom_mean,greedy_rom_lo,greedy_rom_hi,ranking_rom_minus_greedy_rom_mean,ranking_rom_minus_greedy_rom_lo,ranking_rom_minus_greedy_rom_hi,asymptotic_floor,exact_finite_floor,mean_meets_exact_floor,abs_gap_to_exact_floor
4,10,0.7005,0.689,0.7125,0.7985,0.788,0.809,0.09799999999999998,0.08100000000000007,0.11399999999999999,0.5,0.694,0.6825,0.705,0.10450000000000004,0.08948750000000005,0.11950000000000005,0.6321205588285577,0.68359375,True,0.01690625000000001
8,36,0.668,0.66125,0.67475,0.7925,0.78575,0.7995,0.12449999999999994,0.11499375,0.13424999999999998,0.5,0.6615,0.65425,0.66875,0.131,0.12074999999999991,0.14100000000000001,0.6321205588285577,0.6563910841941833,True,0.011608915805816689
16,136,0.65025,0.64575,0.65475,0.80375,0.799621875,0.808,0.15349999999999997,0.14712187499999996,0.15974999999999995,0.5,0.651625,0.646875,0.656,0.15212499999999995,0.14575000000000005,0.15812499999999996,0.6321205588285577,0.6439258695482072,True,0.006324130451792809
32,528,0.641625,0.6385,0.6449390625,0.8305,0.827375,0.8335,0.18887500000000002,0.18474999999999997,0.19337499999999996,0.5,0.6400625,0.6369984375,0.6430625,0.19043750000000004,0.18612499999999998,0.19481250000000006,0.6321205588285577,0.6379447107436834,True,0.0036802892563165823
64,2080,0.638125,0.636,0.64021875,0.84940625,0.84715625,0.85153125,0.21128124999999998,0.20840625000000002,0.21434453124999994,0.5,0.63684375,0.63465546875,0.639,0.2125625,0.20946796874999998,0.21559453125000003,0.6321205588285577,0.6350134757560926,True,0.003111524243907482
128,8256,0.633421875,0.631952734375,0.634984375,0.87203125,0.87059375,0.873515625,0.238609375,0.23654648437500003,0.24062499999999998,0.5,0.633890625,0.6323125,0.635390625,0.238140625,0.236046875,0.24032890625,0.6321205588285577,0.6335622840779627,True,0.00014040907796264435
256,32896,0.6333046875,0.63225,0.6342970703124999,0.8951015625,0.8941640625,0.8960783203124999,0.26179687499999993,0.2604375,0.26324218749999995,0.5,0.6331015625,0.631968359375,0.6341564453124999,0.2619999999999999,0.26053906250000003,0.2635078125,0.6321205588285577,0.6328402451084638,True,0.0004644423915362017
512,131328,0.63287890625,0.63211328125,0.63363671875,0.913296875,0.9126484375,0.91397666015625,0.28041796875,0.2793671875,0.281390625,0.5,0.6327421875,0.63196865234375,0.6335,0.2805546875,0.27953505859374994,0.28162109375,0.6321205588285577,0.6324801087454643,True,0.0003987975045356418
