n_spacings,ks_gue,pc_err_montgomery,repulsion_fraction
100,0.05422968299306474,0.16202096110630765,0.0
200,0.035517690482465225,0.15021170900757003,0.0
299,0.03936957264771612,0.10959363508904728,0.006688963210702341

loglog_slope,stderr,r_squared,p_value
-0.3272261671024675,0.22715576540565802,0.6748121195931984,0.3863092575948096
