topology,n,tau,mean_rho_mean,mean_rho_sem,susceptibility_mean,susceptibility_sem,realization
rr,300,0.041666666666666664,0.0051754629629629624,0.0007057715617470197,1.5120800044251066,0.9113239657153916,0
rr,300,0.05586455167756359,0.006998611111111111,0.0016099029411723636,4.0718978988212395,2.0198965800792616,0
rr,300,0.07490035521924417,0.006159259259259258,0.00029958437907023585,1.0132385911076152,0.21463571022661132,0
rr,300,0.09999999999999999,0.008266666666666667,0.0007490830395166144,3.1661605405935798,1.908047678711212,0
rr,300,0.10042259435552005,0.006189814814814815,0.00014600788104077576,0.7897739367787051,0.05846067920916866,0
rr,300,0.12142857144445304,0.007732870370370371,0.0003779263014441757,1.10661671246589,0.04186417748415758,0
rr,300,0.13464151708725494,0.009117592592592592,0.0003566770347069376,1.4303172063514955,0.2599513609879343,0
rr,300,0.14285714288890608,0.010832407407407407,0.0018577114856396456,1.7540809620887006,0.3849549181371374,0
rr,300,0.16428571433335915,0.01754398148148148,0.002061500325828928,2.9545803211760875,0.4975225373214394,0
rr,300,0.18052051174239642,0.02271527777777778,0.0008423271101908177,3.988875965045522,0.5270218392951782,0
rr,300,0.18571428577781218,0.02770231481481482,0.002013948611999353,5.053454518549071,0.3116165618691647,0
rr,300,0.20714285722226522,0.047493981481481484,0.005400102370312407,5.756096605641458,0.4592212130143392,0
rr,300,0.22857142866671826,0.12697824074074074,0.006865522580676878,6.519584422987592,0.4016552264312929,0
rr,300,0.24203273897023989,0.19403333333333334,0.006005016764127185,3.4315127293751546,0.07926748399564096,0
rr,300,0.2500000001111713,0.21230925925925925,0.008024345778408845,3.735491742996513,0.4156755667761271,0
rr,300,0.3245052108927655,0.41009166666666674,0.0017905745227797195,1.318464106116453,0.12394970446466134,0
rr,300,0.43508011496538174,0.5545726851851852,0.00033130502148485784,0.7091559369084349,0.02419192259801345,0
rr,300,0.5833333335927331,0.6597449074074073,0.0010472418362224012,0.4749025467041079,0.00979138949708716,0
rr,300,0.041666666666666664,0.005964814814814815,0.0008173543477943046,4.130793553494394,1.989521691244627,1
rr,300,0.05586455167776886,0.005351388888888889,0.00020927342763135088,0.8308063853668177,0.06942158741296782,1
rr,300,0.07490035521979461,0.0061291666666666664,0.0006841046597766458,1.3061575623145392,0.5162011180626233,1
rr,300,0.09999999999999999,0.006849537037037037,0.00029100539872933703,1.170193258238935,0.2727528970360386,1
rr,300,0.10042259435662712,0.006866666666666666,0.00023053262318396573,0.8713914300375797,0.0670125398034476,1
rr,300,0.12142857144563418,0.009732407407407407,0.0008498347360790493,1.763217249153149,0.28179840974834214,1
rr,300,0.134641517089234,0.01129074074074074,0.0014301542647038037,2.7441727172108186,1.1445708856621628,1
rr,300,0.14285714289126838,0.011807407407407405,0.0005437043554677025,2.334999017630514,0.26180963229472387,1
rr,300,0.1642857143369026,0.017722685185185185,0.0030999553235677665,3.724521840229892,0.7120479792870091,1
rr,300,0.18052051174571315,0.024587962962962964,0.0027462035252347715,5.395665826731911,1.1631897660157184,1
rr,300,0.1857142857825368,0.022969907407407404,0.003922659030850588,4.263661403834617,0.523460170427003,1
rr,300,0.207142857228171,0.04387453703703703,0.0029528872255749736,6.637217108185339,0.5578218291212422,1
rr,300,0.22857142867380514,0.12604444444444446,0.006240132265094313,6.539237289203944,0.6960279455099921,1
rr,300,0.2420327389755763,0.17929027777777778,0.0012353097404669614,4.7165765297980515,0.19088486967938884,1
rr,300,0.25000000011943935,0.21664675925925928,0.0021088784185335015,3.6213150788714907,0.4604213087283537,1
rr,300,0.3245052109011127,0.40374861111111104,0.0030181428584503166,1.4261266334596772,0.09304967685046381,1
rr,300,0.43508011497817195,0.5556884259259259,0.0013629720575967991,0.7164719407042893,0.014366198137624298,1
rr,300,0.5833333336120252,0.6590680555555556,0.0007915799804536434,0.4651594887154019,0.009554385445973822,1
rr,300,0.041666666666666664,0.00784074074074074,0.0007465283161066103,7.228085840278268,1.8705626473800274,2
rr,300,0.05586455167833377,0.006365277777777777,0.0002717823932778556,1.7890504781725867,0.512905442700191,2
rr,300,0.0749003552213094,0.006111574074074074,0.0006733879185625672,1.0910684675740177,0.2233837944866886,2
rr,300,0.09999999999999999,0.009127314814814814,0.0010516609370190375,3.4383848895274878,2.1035806571740516,2
rr,300,0.10042259435967349,0.007199999999999999,0.0003963626343461337,1.1296104949566634,0.3132941125440284,2
rr,300,0.12142857144888444,0.008053703703703704,0.0005237227806608013,1.2828793008336228,0.19864437216792485,2
rr,300,0.13464151709467995,0.01237546296296296,0.0016508166729185085,3.0186894413186613,0.9189080988404035,2
rr,300,0.14285714289776888,0.013775925925925924,0.0005459849499894641,3.5310124202832758,1.1121169274742342,2
rr,300,0.16428571434665334,0.017125925925925926,0.0015627546888906621,3.3726515157993457,0.5774551066462614,2
rr,300,0.1805205117548402,0.02142175925925926,0.0026368533816222765,4.060413057684566,0.5843712805906006,2
rr,300,0.18571428579553778,0.0244537037037037,0.0018804691611717455,4.347471257894528,0.3975246739761525,2
rr,300,0.20714285724442222,0.05972777777777778,0.0024950111402254524,7.272952206838902,0.5198889050996568,2
rr,300,0.22857142869330666,0.14735925925925925,0.008404653414443583,5.249895827403728,0.4731374990874537,2
rr,300,0.2420327389902607,0.19154861111111113,0.004651558336298707,4.047299967590626,0.29389237879141855,2
rr,300,0.2500000001421911,0.2212787037037037,0.0011384872070925236,3.2480411376779403,0.07475326822765904,2
rr,300,0.3245052109240822,0.4100287037037037,0.0017969195972179874,1.2221595377527668,0.027807659440083125,2
rr,300,0.43508011501336785,0.5566907407407408,0.0009717691478096309,0.7635497097895112,0.05265098442784996,2
rr,300,0.5833333336651125,0.6570550925925926,0.0011434240164379967,0.46713070882396635,0.008409284652068803,2
rr,600,0.041666666666666664,0.0036282407407407405,0.0008228012868185769,10.8751266570292,6.7707015466993825,0
rr,600,0.05586455167805651,0.0030611111111111112,0.0003598750211729031,1.5425073522806014,0.8628448182937294,0
rr,600,0.07490035522056594,0.005844212962962962,0.002598562031322296,7.287608666133271,5.995897413274583,0
rr,600,0.09999999999999999,0.0036729166666666668,8.968217184441228e-05,1.1558517605352827,0.1220439453127811,0
rr,600,0.10042259435817834,0.0052854166666666666,0.0015383355447178724,5.132674657169576,3.9956101116307585,0
rr,600,0.12142857144728922,0.006486805555555555,0.0020121141028445174,7.476091637311952,5.6063282869221736,0
rr,600,0.13464151709200708,0.005073148148148148,0.00024215692195639303,1.846713260431953,0.2162716816195446,0
rr,600,0.14285714289457846,0.0062006944444444444,0.0003666223113136312,2.6561694850593476,0.4443009709424766,0
rr,600,0.16428571434186767,0.009299537037037038,0.000624119235370012,4.031555470008479,0.7031000365558674,0
rr,600,0.18052051175036068,0.012933333333333333,0.0004609094891146433,4.805713664532953,0.1398637483037332,0
rr,600,0.1857142857891569,0.011610416666666665,0.0003242017770876711,4.481156055863188,0.36232984781573213,0
rr,600,0.20714285723644615,0.03763726851851852,0.006624893477491231,13.5078016451356,2.9932239224781876,0
rr,600,0.22857142868373537,0.13412083333333333,0.001700417250060321,5.684379208088802,0.641832886963129,0
rr,600,0.24203273898305364,0.19474166666666667,0.002936372754070217,3.8504682180303607,0.5540246928039061,0
rr,600,0.2500000001310246,0.22738541666666667,0.0015634370247049813,2.9028922708187825,0.20004147389882657,0
rr,600,0.3245052109128088,0.4087793981481482,0.0022386239291887163,1.3033926340035513,0.0932203494670869,0
rr,600,0.4350801149960938,0.5546375,0.0006541805368419329,0.7471863753487875,0.04567566141178616,0
rr,600,0.5833333336390574,0.6578467592592593,0.0007536823278583944,0.4680038187317717,0.00904446192542078,0
rr,600,0.041666666666666664,0.004869675925925926,0.0019116060246799865,6.6572211097284235,4.702870504137495,1
rr,600,0.05586455167786329,0.00295162037037037,0.0005158248727563822,1.7891002222436674,1.048624937028815,1
rr,600,0.07490035522004777,0.0037708333333333326,0.00034439600830955017,3.0960079774026843,1.2651206329989297,1
rr,600,0.09999999999999999,0.0038298611111111107,0.0002101237792364167,1.4427867619574644,0.2694412975909947,1
rr,600,0.10042259435713627,0.0038062499999999997,0.0002860877310256292,1.4932714547845236,0.40951255868005504,1
rr,600,0.12142857144617743,0.003984722222222222,0.00013670113361422022,1.1284315300442704,0.05910234559903611,1
rr,600,0.13464151709014424,0.006394444444444444,0.0003111299413760552,3.958092522739875,0.9793995122354293,1
rr,600,0.14285714289235485,0.00604212962962963,0.000640183593761972,2.6925810289672416,0.6454707650071989,1
rr,600,0.16428571433853228,0.008722222222222221,0.0009921337702914464,2.7164921328437273,0.3335997191573679,1
rr,600,0.18052051174723868,0.011571527777777776,0.0015250600769515976,4.799551700043122,0.9597490876871345,1
rr,600,0.18571428578470972,0.01671041666666667,0.002049443189984691,6.636548638553315,0.4703550080890541,1
rr,600,0.20714285723088716,0.03732800925925926,0.0055450150570731166,8.672153252023001,0.7903517913033056,1
rr,600,0.2285714286770646,0.1342263888888889,0.0054846066398341565,5.857171627549638,0.7099017980675038,1
rr,600,0.24203273897803063,0.19184421296296295,0.0009679497077858491,4.135427843171195,0.5984907979627461,1
