topology,n,n_realizations,mean_degree,mean_sq_degree,heterogeneity_ratio,lambda_max,qmf_threshold,hmf_threshold,tau_c_empirical,tau_c_sem,eps_qmf,eps_hmf,gap_hmf_minus_qmf
rr,300,3,6.0,36.0,1.0,5.999999997017587,0.1666666667495115,0.16666666666666666,0.19305340096005838,0.006116870363684308,0.1349714721289666,0.1349714725601236,4.311569989923214e-10
rr,600,3,6.0,36.0,1.0,5.9999999969295,0.16666666675195838,0.16666666666666666,0.19204264214280986,0.008568884257280978,0.1288038433389526,0.12880384378546128,4.4650868650612335e-10
rr,1000,3,6.0,36.0,1.0,5.999999997253177,0.1666666667429673,0.16666666666666666,0.1652097913031734,0.014341930015890758,0.11761794233517009,0.11761794238628138,5.1111293438340276e-11
er,300,3,6.12428038777032,43.51555555555556,1.1596349699305766,7.2304505165114,0.13839129331200792,0.1408908498043838,0.17102242215315422,0.009397915942846322,0.18728711082160196,0.1724296912274792,-0.014857419594122756
er,600,3,5.96769602378298,41.291583054626535,1.1582806822034184,7.081259770455039,0.1413625824105139,0.14479665930921523,0.16584657511966275,0.009178842841018975,0.14432876066695624,0.12347893612665467,-0.02084982454030158
er,1000,3,5.945875003755472,41.03476259670143,1.1608212441556145,7.074016569815299,0.1413642793555544,0.14489748841975106,0.15229393037649694,0.0038449498788001176,0.07072054735620562,0.047465855012394316,-0.023254692343811292
ba,300,3,5.94,69.49777777777778,1.9696906715238172,11.278410548238758,0.08875660626901184,0.08569413377582584,0.11289106045468499,0.007912662469154525,0.2081989965271608,0.23672003000318378,0.028521033476022972
ba,600,3,5.97,77.43222222222222,2.1725664116849526,12.598360410748379,0.07951698259437645,0.07741600154081836,0.08530058542286816,0.0027124023319124477,0.08335446017948038,0.11150511492642756,0.0281506547469472
ba,1000,3,5.982,85.15933333333334,2.379794385198762,13.863645944743709,0.07214076295821699,0.07027105343525053,0.08512954664534288,0.00574586885301136,0.1436010459436007,0.16515964683115303,0.021558600887552303
