n,k_n,L_n,mean_candidates,std_candidates,near_neighbor_found_rate
200,8,5,5.7,2.5942243542145698,0.74
500,9,6,10.79,4.055354485122108,0.8
1000,10,7,13.12,4.758739328855911,0.77
2000,11,8,15.92,6.569139974151867,0.75
4000,12,9,18.43,6.527258229915528,0.62
8000,13,11,27.76,8.607113337234498,0.62
16000,14,13,37.4,11.562871615649808,0.57
32000,15,16,53.29,16.290669108419088,0.67
