theta,empirical_recall,theory_recall,stderr,abs_error
0.3,1.0,0.9999931056032879,0.0,6.894396712087136e-06
0.39999999999999997,1.0,0.9997255600222622,0.0,0.0002744399777377948
0.5,0.997,0.9968184444629007,0.0012229063741758816,0.00018155553709930938
0.6,0.981,0.9826592651708872,0.0030527856131736483,0.0016592651708872141
0.7,0.9485,0.9425415998075727,0.004942051699446293,0.005958400192427327
0.7999999999999999,0.8825,0.8649435327640216,0.0072004774147274445,0.017556467235978368
0.8999999999999999,0.746,0.7511509518433163,0.009733550225893941,0.005150951843316265
1.0,0.6195,0.6152312887389408,0.010856328799368596,0.00426871126105921
1.0999999999999999,0.4705,0.4761362387972,0.011160863541859115,0.005636238797200044
1.2,0.371,0.3496783271818099,0.01080182854890782,0.021321672818190085
1.2999999999999998,0.234,0.24483425550032423,0.009466889668734923,0.010834255500324214
1.4,0.169,0.16406472414927842,0.008379707632131327,0.004935275850721593
1.5,0.0965,0.10548313649558605,0.006602565789145913,0.008983136495586047
1.5999999999999999,0.0645,0.06512937436992561,0.005492711079239468,0.000629374369925606
1.7,0.04,0.038590547327600144,0.004381780460041329,0.0014094526723998566
1.7999999999999998,0.023,0.02188968197942165,0.003351939736928455,0.0011103180205783506
1.9,0.008,0.011836148471910835,0.0019919839356781974,0.0038361484719108344
2.0,0.0055,0.006062706199556844,0.0016537457482938543,0.0005627061995568446
