n,k_n,L_n,mean_candidates,std_candidates,near_neighbor_found_rate
200,8,5,6.06,2.686335794348875,0.8
500,9,6,9.1,4.124318125460256,0.72
1000,10,7,12.34,4.022983967156717,0.74
2000,11,8,14.98,6.45752274483025,0.6
4000,12,9,19.72,6.5849525434888285,0.68
8000,13,11,26.02,9.014410685119689,0.64
16000,14,13,36.94,13.032896838385549,0.6
32000,15,16,49.78,14.454466437748577,0.6
64000,16,19,71.94,19.30223821218669,0.7
128000,17,23,99.5,24.79616905894941,0.74
256000,18,27,130.0,38.09199390948182,0.58
