n,k_n,L_n,mean_candidates,std_candidates,near_neighbor_found_rate
200,8,5,4.4,2.019900987672415,0.8
500,9,6,6.36,3.3212046007435316,0.72
1000,10,7,7.42,3.188040150311787,0.74
2000,11,8,8.58,4.643662347759578,0.6
4000,12,9,9.94,4.601782263427943,0.68
8000,13,11,12.02,5.72185284676214,0.64
16000,14,13,13.42,5.276703516401126,0.6
32000,15,16,14.34,6.6951026877860516,0.6
64000,16,19,18.36,7.657049039936991,0.7
128000,17,23,21.9,8.670063436907483,0.74
256000,18,27,24.28,14.81761114350083,0.58
