k,m,total_influence,variance,ns_exponent,ns_r_squared
1,1,1.0,0.9999992488888889,0.9776041084601772,0.9942223881961604
2,3,1.2462666666666666,0.93436156,0.9338003726870129,0.9845142407718858
3,6,2.1920333333333333,0.9948925155555556,0.9494190786868065,0.9998982951621171
4,11,2.8610333333333333,0.9985661155555555,0.9773792048242717,0.9981479353170446
5,22,3.3861,0.9995533822222222,0.994990067439173,0.9990260774211255
6,44,4.079033333333333,0.99995376,0.9539348608399245,0.9991794047608565
