n,rho,alpha,p,n_trials,n_samples,mean_overlap,sem_overlap,ci_lo,ci_hi,mean_sweeps_used
100,0.1,0.1142,11,20,100,0.8874000000000001,0.019936576203226843,0.8442000000000002,0.9256,4.95
100,0.1,0.12,12,20,100,0.9085999999999999,0.02035097098916954,0.8667949999999999,0.946,4.6
100,0.1,0.13,13,20,100,0.8223999999999999,0.02549276783955034,0.7689949999999999,0.8704000000000001,6.1
100,0.1,0.1342,13,20,100,0.7888000000000001,0.028251854323694803,0.7318000000000001,0.84161,6.75
100,0.1,0.14,14,20,100,0.8362,0.02434880371649175,0.787595,0.8838050000000001,7.35
100,0.1,0.15,15,20,100,0.7265999999999999,0.029285160167917917,0.669985,0.7832000000000001,7.1
100,0.1,0.1542,15,20,100,0.7604000000000001,0.025535050183596426,0.71158,0.807405,6.9
100,0.1,0.1571,16,20,100,0.6015999999999999,0.03019623362693641,0.5425949999999999,0.6608049999999999,8.9
100,0.1,0.16,16,20,100,0.7232000000000001,0.028119111729292667,0.66678,0.7782099999999998,6.7
100,0.1,0.17,17,20,100,0.5279999999999999,0.027772524755828937,0.4757900000000001,0.58221,8.45
100,0.1,0.1742,17,20,100,0.5998,0.03061193402989274,0.541375,0.6581999999999999,7.85
100,0.1,0.18,18,20,100,0.4886,0.028917514178480597,0.430195,0.5432049999999999,9.0
100,0.1,0.19,19,20,100,0.5264,0.028841440443720678,0.47080000000000005,0.5816049999999999,8.8
100,0.1,0.1942,19,20,100,0.47119999999999995,0.025976399545228228,0.4219899999999999,0.520205,9.65
100,0.1,0.2,20,20,100,0.3824000000000001,0.022421634573993415,0.33879999999999993,0.4262050000000001,9.3
100,0.1,0.2029,20,20,100,0.43999999999999995,0.025898012871783633,0.39219499999999996,0.49340500000000004,8.9
100,0.1,0.21,21,20,100,0.43640000000000007,0.02447902420977246,0.38800000000000007,0.48440500000000003,7.85
100,0.1,0.2142,21,20,100,0.42119999999999996,0.023228022087577967,0.378995,0.46720499999999987,8.7
100,0.1,0.22,22,20,100,0.4023999999999999,0.023726182102726038,0.357395,0.44820499999999996,8.4
100,0.1,0.23,23,20,100,0.3918,0.022969624210326917,0.34858000000000006,0.4374,7.9
100,0.1,0.24,24,20,100,0.3926,0.02188981590612494,0.351795,0.4397999999999999,8.55
100,0.1,0.2486,25,20,100,0.37020000000000003,0.022335359473898843,0.32820000000000005,0.413205,8.65
100,0.1,0.25,25,20,100,0.34240000000000004,0.018773030300584578,0.30759499999999995,0.37960499999999997,8.8
100,0.1,0.2943,29,20,100,0.2864,0.014765178801846765,0.25860000000000005,0.315205,8.25
100,0.1,0.34,34,20,100,0.28740000000000004,0.01335045869903905,0.26139999999999997,0.3142,7.5
100,0.2,0.01,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.2,0.02,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.2,0.0204,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.2,0.03,3,20,60,1.0,0.0,1.0,1.0,2.0
100,0.2,0.04,4,20,80,1.0,0.0,1.0,1.0,2.0
100,0.2,0.0404,4,20,80,0.9957499999999999,0.002991417047047619,0.9890000000000001,1.0,2.05
100,0.2,0.05,5,20,100,0.9978,0.0016054201124234544,0.9941949999999999,1.0,2.05
100,0.2,0.06,6,20,100,0.9584000000000001,0.009617660523193463,0.9389949999999999,0.9765999999999999,3.15
100,0.2,0.0604,6,20,100,0.9739999999999999,0.00810287391340663,0.9566,0.9884000000000001,2.6
100,0.2,0.0657,7,20,100,0.8326,0.021734216379160336,0.7903849999999999,0.8737999999999999,4.45
100,0.2,0.07,7,20,100,0.8558,0.02104405192001106,0.8121899999999999,0.8946049999999999,4.35
100,0.2,0.08,8,20,100,0.7628,0.02435597949937011,0.7116,0.81261,5.15
100,0.2,0.0804,8,20,100,0.7802000000000001,0.025388289673100323,0.7289999999999999,0.8288,5.35
100,0.2,0.09,9,20,100,0.7624000000000001,0.025476913692853993,0.7120000000000001,0.812,5.9
100,0.2,0.1,10,20,100,0.6463999999999999,0.028965852413844233,0.58899,0.70522,6.55
100,0.2,0.1004,10,20,100,0.5984000000000002,0.025032794651832384,0.5489949999999999,0.646005,7.05
100,0.2,0.11,11,20,100,0.531,0.025965594952015274,0.4815900000000001,0.581815,6.7
100,0.2,0.1114,11,20,100,0.5292000000000001,0.02519005736196307,0.4819950000000001,0.5778,7.75
100,0.2,0.12,12,20,100,0.48839999999999995,0.022823309013888286,0.44398999999999994,0.5386049999999999,6.5
100,0.2,0.1204,12,20,100,0.4472,0.019613477122848076,0.4106,0.4874049999999999,6.55
100,0.2,0.13,13,20,100,0.447,0.02016171990418847,0.40919000000000005,0.48760499999999996,6.75
100,0.2,0.14,14,20,100,0.3984000000000001,0.016967419760627524,0.3657850000000001,0.43200500000000003,6.5
100,0.2,0.1404,14,20,100,0.4102,0.01724100116617713,0.37938,0.4458100000000001,6.4
100,0.2,0.15,15,20,100,0.38060000000000005,0.013325618980449696,0.35420000000000007,0.40620500000000004,6.85
100,0.2,0.1571,16,20,100,0.4019999999999999,0.016336116027645214,0.3696000000000001,0.43519999999999986,6.65
100,0.2,0.16,16,20,100,0.3854000000000001,0.014289517242730875,0.3582,0.4132,5.9
100,0.2,0.1604,16,20,100,0.376,0.017093917637628308,0.344195,0.409005,6.35
100,0.2,0.17,17,20,100,0.352,0.014688688701091593,0.32300000000000006,0.381205,6.35
100,0.2,0.18,18,20,100,0.35259999999999997,0.01454121276533937,0.32539499999999993,0.3836,5.9
100,0.2,0.1804,18,20,100,0.39059999999999995,0.01491918973075355,0.3636000000000001,0.42001000000000005,5.6
100,0.2,0.19,19,20,100,0.348,0.01464461151634438,0.32139499999999993,0.37540000000000007,5.8
100,0.2,0.2,20,20,100,0.3736,0.013305668268854747,0.34740000000000004,0.3998050000000001,6.25
100,0.2,0.2004,20,20,100,0.366,0.014367471678212642,0.33919499999999997,0.39561999999999986,5.6
100,0.2,0.2029,20,20,100,0.33000000000000007,0.01204201399310352,0.3074,0.35359999999999997,6.1
100,0.2,0.21,21,20,100,0.3362000000000001,0.011657381586554738,0.3138,0.35860500000000006,5.95
100,0.2,0.22,22,20,100,0.35960000000000003,0.013513868671281607,0.33519499999999997,0.38599999999999995,5.8
100,0.2,0.23,23,20,100,0.33919999999999995,0.011241769155136291,0.31679999999999997,0.3618,5.0
100,0.2,0.24,24,20,100,0.3332,0.013327938302450961,0.3074,0.35821,6.05
100,0.2,0.2486,25,20,100,0.3413999999999999,0.010675204916066015,0.32099500000000003,0.36140500000000003,5.15
100,0.2,0.25,25,20,100,0.33419999999999994,0.01212825401508995,0.311195,0.3585999999999999,5.2
100,0.2,0.2943,29,20,100,0.33059999999999995,0.011635733884474284,0.30779999999999996,0.35340000000000005,5.05
100,0.2,0.34,34,20,100,0.33759999999999996,0.01250867981471549,0.3138,0.3611999999999999,4.95
100,0.3,0.01,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.3,0.02,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.3,0.0296,3,20,60,1.0,0.0,1.0,1.0,2.0
100,0.3,0.03,3,20,60,1.0,0.0,1.0,1.0,2.0
100,0.3,0.04,4,20,80,0.9899999999999999,0.0052046717086610475,0.9799999999999999,0.998,2.15
100,0.3,0.0492,5,20,100,0.9703999999999999,0.008406250680597773,0.952795,0.9853999999999999,2.5
100,0.3,0.05,5,20,100,0.929,0.013037242690450193,0.902795,0.952005,2.95
100,0.3,0.06,6,20,100,0.778,0.020797241464320514,0.7353949999999998,0.8194,4.1
100,0.3,0.0657,7,20,100,0.6637999999999998,0.022294076760114075,0.6199950000000001,0.7072099999999999,5.05
100,0.3,0.0689,7,20,100,0.638,0.021423106566263797,0.5989949999999998,0.6794049999999999,5.2
100,0.3,0.07,7,20,100,0.623,0.021139985569980643,0.58279,0.6640149999999999,5.6
100,0.3,0.08,8,20,100,0.5486,0.018302188421336425,0.5144,0.585605,5.7
100,0.3,0.0885,9,20,100,0.48160000000000003,0.012994730866894871,0.4556,0.506605,5.35
100,0.3,0.09,9,20,100,0.515,0.016637246761347858,0.4820000000000001,0.54861,5.95
100,0.3,0.1,10,20,100,0.47,0.015393820090208182,0.44239,0.5032,5.8
100,0.3,0.1081,11,20,100,0.4592,0.013220492204960226,0.434795,0.48700000000000004,5.25
100,0.3,0.11,11,20,100,0.43079999999999996,0.014886560951734185,0.40220000000000006,0.45881,5.35
100,0.3,0.1114,11,20,100,0.43979999999999997,0.012135580877416756,0.41620000000000007,0.4636049999999999,5.2
100,0.3,0.12,12,20,100,0.4476,0.012788188995232194,0.4224,0.475205,5.05
100,0.3,0.1277,13,20,100,0.4194,0.013389140783078313,0.3924,0.4468000000000001,5.45
100,0.3,0.13,13,20,100,0.42879999999999996,0.011628317925554745,0.4050000000000001,0.4530099999999999,5.05
100,0.3,0.14,14,20,100,0.4192,0.013131564255563,0.393995,0.445605,4.95
100,0.3,0.1474,15,20,100,0.4353999999999999,0.011395037019986759,0.4131950000000001,0.458,4.5
100,0.3,0.15,15,20,100,0.42560000000000003,0.011206347407707035,0.4004,0.4472,4.8
100,0.3,0.1571,16,20,100,0.4122,0.01172373919046567,0.3894,0.43380499999999994,5.1
100,0.3,0.16,16,20,100,0.42080000000000006,0.01104232445153326,0.399595,0.4424,5.0
100,0.3,0.167,17,20,100,0.4142,0.009670511252192817,0.3952000000000001,0.43399999999999994,4.9
100,0.3,0.17,17,20,100,0.40619999999999995,0.01072595266659613,0.38639500000000004,0.42739999999999995,4.7
100,0.3,0.18,18,20,100,0.41759999999999997,0.011361035661995403,0.39459500000000003,0.43920000000000003,5.05
