train_size,noise_level,hidden_width,seed,val_mse,lambda1_true,lambda1_surrogate,lambda1_abs_error,chaos_detected_correct,attractor_js_divergence,train_seconds
200,0.0,8,0,1.1085386559267363,0.9005026953387504,0.02376559931038568,0.8767370960283647,True,0.46526044861441185,0.2188129425048828
200,0.0,32,0,0.4281653878713491,0.9005026953387504,-0.026666053780444576,0.927168749119195,False,0.46475048126006047,0.29807543754577637
200,0.0,128,0,0.11997399136858941,0.9005026953387504,-0.06607867085505062,0.966581366193801,False,0.47440855720931996,1.354459285736084
200,0.0,8,1,1.1946674399419672,0.9005026953387504,-0.003751812513702271,0.9042545078524526,False,0.4649096521108837,0.2198026180267334
200,0.0,32,1,0.3342803218037644,0.9005026953387504,-0.022619209709086808,0.9231219050478372,False,0.4655564988879483,0.29357433319091797
200,0.0,128,1,0.06695655090671267,0.9005026953387504,-0.11401219463749032,1.0145148899762406,False,0.4540535003896835,1.3566288948059082
200,0.02,8,0,0.6886130575200654,0.9005026953387504,0.004324857062153503,0.8961778382765969,True,0.46581135698657844,0.21902132034301758
200,0.02,32,0,0.25209493185828663,0.9005026953387504,-0.22108851066572138,1.1215912060044717,False,0.4660374725194705,0.2934424877166748
200,0.02,128,0,0.07109179107099722,0.9005026953387504,-0.06011770451693238,0.9606203998556828,False,0.45224798231417457,1.4621059894561768
200,0.02,8,1,1.277999167026705,0.9005026953387504,0.006949446153430705,0.8935532491853196,True,0.46529302355626245,0.2258601188659668
200,0.02,32,1,0.36722740919892743,0.9005026953387504,-0.08223880080990252,0.9827414961486529,False,0.4648084858186477,0.30667829513549805
200,0.02,128,1,0.11503551157630137,0.9005026953387504,-0.1503282332882988,1.0508309286270492,False,0.46398139266020905,1.4154601097106934
200,0.1,8,0,1.1162860495945923,0.9005026953387504,-0.0348597568815083,0.9353624522202587,False,0.46418803545452897,0.23770833015441895
200,0.1,32,0,0.5920161831064082,0.9005026953387504,-0.042800557478421875,0.9433032528171723,False,0.46460938214560654,0.300140380859375
200,0.1,128,0,0.25821132547750203,0.9005026953387504,-0.09877915544774035,0.9992818507864907,False,0.4651850636601256,1.45930814743042
200,0.1,8,1,1.4873009448376442,0.9005026953387504,-0.004403561570292955,0.9049062569090434,False,0.465256997537607,0.25013065338134766
200,0.1,32,1,0.648492523036289,0.9005026953387504,-0.04630523691598789,0.9468079322547382,False,0.4813840744050995,0.32953596115112305
200,0.1,128,1,0.416296565430965,0.9005026953387504,-0.08165317298357175,0.9821558683223222,False,0.5059222998749389,1.4589672088623047
1000,0.0,8,0,0.0072500639084322124,0.9005026953387504,-0.688128355744188,1.5886310510829382,False,0.6001396010572487,0.3778655529022217
1000,0.0,32,0,0.0036220801980874438,0.9005026953387504,-0.023927711536391533,0.9244304068751419,False,0.0481468792588798,0.5799529552459717
1000,0.0,128,0,0.03356734788500674,0.9005026953387504,-0.07515174573538859,0.975654441074139,False,0.10873438490346883,2.5749173164367676
1000,0.0,8,1,0.003744456827292406,0.9005026953387504,-0.03843251093876741,0.9389352062775178,False,0.22422952504196225,0.37122440338134766
1000,0.0,32,1,0.001275029398286797,0.9005026953387504,-0.5461537205790925,1.4466564159178428,False,0.5915129505998681,0.5685980319976807
1000,0.0,128,1,0.0014579780635728752,0.9005026953387504,0.07834291360664054,0.8221597817321098,True,0.4508122806613859,2.4028565883636475
1000,0.02,8,0,0.003923792299269139,0.9005026953387504,-10.367883115765638,11.268385811104388,False,0.5506188975974381,0.3759803771972656
1000,0.02,32,0,0.0035847475781205047,0.9005026953387504,-2.9758224392972723,3.876325134636023,False,0.5588663050540958,0.5405526161193848
1000,0.02,128,0,0.03905778031708481,0.9005026953387504,0.030458324485501592,0.8700443708532488,True,0.5056759040650877,2.507370948791504
1000,0.02,8,1,0.007197747867607409,0.9005026953387504,0.03478406151503828,0.8657186338237121,True,0.1225502093154223,0.3636438846588135
1000,0.02,32,1,0.004435756812913357,0.9005026953387504,0.02128949065275059,0.8792132046859998,True,0.23718579645161034,0.5300707817077637
1000,0.02,128,1,0.0329051438135717,0.9005026953387504,-24.30535951529804,25.20586221063679,False,0.6380565750722232,2.358118772506714
