env,algo,K,T,seed,regret,num_segments,segment_length
switching,EXP3,5,8000,2,1914.2999999998012,32,250
switching,EXP3,5,8000,3,1914.5999999998012,32,250
switching,EXP3,5,8000,4,1899.8999999998034,32,250
switching,EXP3,5,8000,5,1935.299999999798,32,250
switching,EXP3,5,8000,6,1929.8999999997989,32,250
switching,EXP3,5,8000,7,1946.6999999997963,32,250
switching,EXP3,5,8000,8,1936.199999999798,32,250
switching,EXP3,5,8000,9,1904.0999999998028,32,250
switching,EXP3,5,8000,10,1927.1999999997993,32,250
switching,EXP3,5,8000,11,1919.6999999998004,32,250
switching,UCB1,5,8000,0,776.0999999999736,32,250
switching,UCB1,5,8000,1,796.7999999999705,32,250
switching,UCB1,5,8000,2,774.8999999999738,32,250
switching,UCB1,5,8000,3,715.1999999999829,32,250
switching,UCB1,5,8000,4,731.0999999999805,32,250
switching,UCB1,5,8000,5,1008.5999999999384,32,250
switching,UCB1,5,8000,6,781.7999999999728,32,250
switching,UCB1,5,8000,7,632.6999999999954,32,250
switching,UCB1,5,8000,8,730.1999999999806,32,250
switching,UCB1,5,8000,9,782.6999999999726,32,250
switching,UCB1,5,8000,10,662.9999999999908,32,250
switching,UCB1,5,8000,11,860.0999999999609,32,250
switching,EXP3,5,8000,0,1923.5999999997998,64,125
switching,EXP3,5,8000,1,1923.5999999997998,64,125
switching,EXP3,5,8000,2,1916.6999999998009,64,125
switching,EXP3,5,8000,3,1903.4999999998029,64,125
switching,EXP3,5,8000,4,1905.8999999998025,64,125
switching,EXP3,5,8000,5,1927.7999999997992,64,125
switching,EXP3,5,8000,6,1930.4999999997988,64,125
switching,EXP3,5,8000,7,1922.3999999998,64,125
switching,EXP3,5,8000,8,1906.7999999998024,64,125
switching,EXP3,5,8000,9,1910.9999999998017,64,125
switching,EXP3,5,8000,10,1916.9999999998008,64,125
switching,EXP3,5,8000,11,1910.6999999998018,64,125
switching,UCB1,5,8000,0,941.9999999999485,64,125
switching,UCB1,5,8000,1,1129.1999999999202,64,125
switching,UCB1,5,8000,2,965.6999999999449,64,125
switching,UCB1,5,8000,3,974.9999999999435,64,125
switching,UCB1,5,8000,4,835.1999999999647,64,125
switching,UCB1,5,8000,5,957.8999999999461,64,125
switching,UCB1,5,8000,6,1010.999999999938,64,125
switching,UCB1,5,8000,7,934.4999999999496,64,125
switching,UCB1,5,8000,8,932.09999999995,64,125
switching,UCB1,5,8000,9,929.3999999999504,64,125
switching,UCB1,5,8000,10,956.0999999999464,64,125
switching,UCB1,5,8000,11,923.9999999999512,64,125
switching,EXP3,5,8000,0,1898.6999999998036,128,62
switching,EXP3,5,8000,1,1916.399999999801,128,62
switching,EXP3,5,8000,2,1918.1999999998006,128,62
switching,EXP3,5,8000,3,1923.2999999997999,128,62
switching,EXP3,5,8000,4,1926.5999999997994,128,62
switching,EXP3,5,8000,5,1937.9999999997976,128,62
switching,EXP3,5,8000,6,1921.1999999998002,128,62
switching,EXP3,5,8000,7,1925.3999999997995,128,62
switching,EXP3,5,8000,8,1932.2999999997985,128,62
switching,EXP3,5,8000,9,1917.8999999998007,128,62
switching,EXP3,5,8000,10,1910.3999999998018,128,62
switching,EXP3,5,8000,11,1918.4999999998006,128,62
switching,UCB1,5,8000,0,1388.099999999881,128,62
switching,UCB1,5,8000,1,1185.2999999999117,128,62
switching,UCB1,5,8000,2,1279.1999999998975,128,62
switching,UCB1,5,8000,3,1378.7999999998824,128,62
switching,UCB1,5,8000,4,1329.8999999998898,128,62
switching,UCB1,5,8000,5,1275.299999999898,128,62
switching,UCB1,5,8000,6,1193.9999999999104,128,62
switching,UCB1,5,8000,7,1279.1999999998975,128,62
switching,UCB1,5,8000,8,1309.499999999893,128,62
switching,UCB1,5,8000,9,1311.5999999998926,128,62
switching,UCB1,5,8000,10,1261.1999999999002,128,62
switching,UCB1,5,8000,11,1281.5999999998971,128,62
switching,EXP3,5,8000,0,1932.5999999997985,256,31
switching,EXP3,5,8000,1,1908.899999999802,256,31
switching,EXP3,5,8000,2,1931.3999999997986,256,31
switching,EXP3,5,8000,3,1924.7999999997996,256,31
switching,EXP3,5,8000,4,1917.5999999998007,256,31
switching,EXP3,5,8000,5,1933.7999999997983,256,31
switching,EXP3,5,8000,6,1922.9999999998,256,31
switching,EXP3,5,8000,7,1912.7999999998015,256,31
switching,EXP3,5,8000,8,1931.9999999997985,256,31
