degree,n_edges,poa,theoretical_bound
1,4,1.005046091955171,1.3333333333333333
1,4,1.0005303545470148,1.3333333333333333
1,2,1.0,1.3333333333333333
1,6,1.0314157655518659,1.3333333333333333
1,7,1.0043780040482864,1.3333333333333333
1,4,1.0,1.3333333333333333
1,4,1.0874588748811334,1.3333333333333333
1,1,1.0,1.3333333333333333
1,7,1.0098690558449925,1.3333333333333333
1,1,1.0,1.3333333333333333
1,10,1.03329561963111,1.3333333333333333
1,2,1.0412623956200602,1.3333333333333333
1,16,1.0487326656652027,1.3333333333333333
1,7,1.0076178243602065,1.3333333333333333
1,7,1.022738898961901,1.3333333333333333
1,8,1.0502783048397526,1.3333333333333333
1,9,1.0003756839223836,1.3333333333333333
1,9,1.0004699319165862,1.3333333333333333
1,3,1.002700535682346,1.3333333333333333
1,1,1.0,1.3333333333333333
1,5,1.0160589305265144,1.3333333333333333
1,1,1.0,1.3333333333333333
1,9,0.9999999999999992,1.3333333333333333
1,9,1.0281269872905343,1.3333333333333333
1,4,1.0,1.3333333333333333
1,4,1.0000000000000002,1.3333333333333333
1,3,1.0,1.3333333333333333
1,7,1.0195981823332734,1.3333333333333333
1,1,1.0,1.3333333333333333
1,3,1.0359275074203325,1.3333333333333333
1,3,1.0,1.3333333333333333
1,3,1.0,1.3333333333333333
1,6,1.0266389342381825,1.3333333333333333
1,1,1.0,1.3333333333333333
1,1,1.0,1.3333333333333333
1,10,0.9999999999999988,1.3333333333333333
1,3,1.0424814113471583,1.3333333333333333
1,6,1.0027754555090072,1.3333333333333333
1,11,1.0048671313919075,1.3333333333333333
1,2,1.0,1.3333333333333333
1,8,1.0443891442038011,1.3333333333333333
1,8,1.00026245589916,1.3333333333333333
1,4,1.0000000000000004,1.3333333333333333
1,6,1.0054550284936385,1.3333333333333333
1,10,1.006823363071468,1.3333333333333333
1,1,1.0,1.3333333333333333
1,9,1.0223725478968582,1.3333333333333333
1,1,1.0,1.3333333333333333
1,1,1.0,1.3333333333333333
1,5,1.0055769352555848,1.3333333333333333
