degree,b,poa,theoretical_bound
1,0.001,1.0002500625156288,1.3333333333333333
1,0.026120603015075378,1.0065730739173648,1.3333333333333333
1,0.051241206030150754,1.0129765348312492,1.3333333333333333
1,0.07636180904522613,1.0194619904611144,1.3333333333333333
1,0.10148241206030151,1.0260310258376784,1.3333333333333333
1,0.12660301507537688,1.032685267110012,1.3333333333333333
1,0.15172361809045226,1.0394263828875947,1.3333333333333333
1,0.17684422110552764,1.0462560856352718,1.3333333333333333
1,0.20196482412060301,1.0531761331235803,1.3333333333333333
1,0.2270854271356784,1.0601883299370012,1.3333333333333333
1,0.25220603015075377,1.0672945290428808,1.3333333333333333
1,0.2773266331658292,1.0744966334238648,1.3333333333333333
1,0.3024472361809045,1.0817965977768809,1.3333333333333333
1,0.32756783919597987,1.08919643028185,1.3333333333333333
1,0.3526884422110553,1.0966981944434873,1.3333333333333333
1,0.3778090452261307,1.1043040110097444,1.3333333333333333
1,0.40292964824120603,1.112016059970635,1.3333333333333333
1,0.4280502512562814,1.1198365826414076,1.3333333333333333
1,0.4531708542713568,1.1277678838342406,1.3333333333333333
1,0.4782914572864322,1.1358123341228847,1.3333333333333333
1,0.5034120603015075,1.1439723722049204,1.3333333333333333
1,0.5285326633165829,1.1522505073665865,1.3333333333333333
1,0.5536532663316583,1.1606493220553993,1.3333333333333333
1,0.5787738693467337,1.1691714745661137,1.3333333333333333
1,0.603894472361809,1.177819701845892,1.3333333333333333
1,0.6290150753768844,1.1865968224248906,1.3333333333333333
1,0.6541356783919597,1.195505739478874,1.3333333333333333
1,0.6792562814070352,1.2045494440308222,1.3333333333333333
1,0.7043768844221105,1.2137310182989773,1.3333333333333333
1,0.7294974874371859,1.2230536391991769,1.3333333333333333
1,0.7546180904522614,1.2325205820098446,1.3333333333333333
1,0.7797386934673367,1.2421352242085288,1.3333333333333333
1,0.8048592964824121,1.2519010494894098,1.3333333333333333
1,0.8299798994974874,1.2618216519718342,1.3333333333333333
1,0.8551005025125628,1.271900740610544,1.3333333333333333
1,0.8802211055276382,1.2821421438189797,1.3333333333333333
1,0.9053417085427136,1.29254981431775,1.3333333333333333
1,0.9304623115577889,1.3031278342211845,1.3333333333333333
1,0.9555829145728644,1.3138804203757102,1.3333333333333333
1,0.9807035175879397,1.324811929964716,1.3333333333333333
1,1.005824120603015,1.328191319964216,1.3333333333333333
1,1.0309447236180904,1.3067915811794153,1.3333333333333333
1,1.0560653266331657,1.2865925693212101,1.3333333333333333
1,1.0811859296482411,1.2675151967223937,1.3333333333333333
1,1.1063065326633166,1.2494877153315211,1.3333333333333333
1,1.1314271356783918,1.2324449086137603,1.3333333333333333
1,1.1565477386934673,1.2163273891119095,1.3333333333333333
1,1.1816683417085425,1.201080985965476,1.3333333333333333
1,1.206788944723618,1.1866562093020476,1.3333333333333333
1,1.2319095477386934,1.1730077805514856,1.3333333333333333
1,1.2570301507537687,1.1600942194856825,1.3333333333333333
1,1.2821507537688441,1.1478774802299674,1.3333333333333333
1,1.3072713567839194,1.1363226296861664,1.3333333333333333
1,1.3323919597989948,1.1253975627987465,1.3333333333333333
1,1.3575125628140703,1.1150727499220352,1.3333333333333333
1,1.3826331658291455,1.1053210122379973,1.3333333333333333
1,1.407753768844221,1.0961173217547655,1.3333333333333333
1,1.4328743718592964,1.0874386229053876,1.3333333333333333
1,1.4579949748743717,1.0792636731798466,1.3333333333333333
1,1.4831155778894471,1.071572900574284,1.3333333333333333
1,1.5082361809045226,1.0643482759398077,1.3333333333333333
1,1.5333567839195978,1.0575731985680823,1.3333333333333333
1,1.5584773869346733,1.0512323935690102,1.3333333333333333
1,1.5835979899497485,1.0453118197831501,1.3333333333333333
