n,eps50,steepness_k,width_90_10,gap_to_threshold
128,0.40573385205718604,32.28334785043218,0.13612123423604625,0.023702831597599117
256,0.4148278762580121,46.57828397528828,0.09434544984533731,0.01460880739677306
512,0.41969333453348795,65.87981139138208,0.06670403363126946,0.009743349121297207
1024,0.42324784516932334,105.03963325805167,0.04183610527158413,0.006188838485461812
2048,0.4256429001741916,138.60496149739612,0.0317048474109276,0.00379378348059356
4096,0.42705506169497387,193.74299618449524,0.02268184781496693,0.0023816219598112864
