L,T,m_mean,m_std,chi_mean,chi_std,c_mean,c_std,u4_mean,u4_std,e_mean,e_std
8,1.6,0.9791367187500001,0.0005665409322632267,0.04392864013671671,0.004740559724982143,0.2650890991210937,0.010101382051059878,0.6652823664127019,0.00011983180429171462,-1.9264999999999999,0.0017248471399663552
8,1.7,0.9702890624999999,0.0005616856083755841,0.06487137408088164,0.0008108062851730542,0.33172702746539795,0.0073967969150077525,0.6644988434573335,1.7581901822177993e-05,-1.8979765624999998,0.002176240554079138
8,1.8,0.9571640625,0.0005934929542284032,0.11188138020833428,0.01427386445261367,0.4276966386959876,0.018295110857894682,0.662854362264862,0.00029870317233458507,-1.8600234375,0.0017189453014039141
8,1.9,0.93749609375,0.001353046286321949,0.21108553659539453,0.036148574197322696,0.5606697671398893,0.026147006917721653,0.6596433330294839,0.0006402267061443164,-1.8087265625,0.002545232887029958
8,2.0,0.9112773437500001,0.0022728434307585643,0.34582670117187586,0.033946970555329685,0.7238513359375001,0.03667820817330448,0.654410896425026,0.0009663559307908448,-1.745609375,0.003798417896391202
8,2.1,0.873890625,0.00516644352256706,0.6002650892857149,0.07225780161028725,0.888750177154195,0.03599229310505543,0.6452091443696503,0.0018237830822006769,-1.6666093750000002,0.007519197435772319
8,2.126923,0.86306640625,0.006237148652664135,0.6540981035896687,0.08596401901320229,0.9307859844959946,0.04839304327640723,0.642336659516141,0.0024232855854103516,-1.6439453124999999,0.008778145998328336
8,2.153846,0.8501640625,0.0070709858104815206,0.7402506268147758,0.07172348687907278,0.970037999765468,0.03955379218384227,0.6385382948360452,0.0025214807691207428,-1.6190234374999999,0.01087062984659669
8,2.180769,0.8356484375000001,0.007764497057168689,0.8405880885653172,0.07842567006324909,1.0321285198747723,0.049077509465205955,0.6339185958031874,0.0031717613217967086,-1.59109375,0.011310384816066103
8,2.207692,0.821296875,0.006088228668530167,0.9432447332157285,0.07471475470932387,1.064555527052874,0.040603817723727745,0.6292223143296579,0.002655085806413759,-1.5656875000000001,0.008723928793482319
8,2.234615,0.8010078125,0.00729459530100667,1.0941697940696735,0.09832025444952537,1.1124582585410892,0.045929246085733656,0.6215742223025775,0.0033990122812174576,-1.5327890624999998,0.009658964399029435
8,2.261538,0.7853828125000001,0.006228561865323016,1.174961847728183,0.08985459357293697,1.1366848680568635,0.03703392324167908,0.6158026567581529,0.003277945939667759,-1.50565625,0.006176007319154517
8,2.288462,0.7689296875,0.0009507205840341588,1.239305081726286,0.03141415524449573,1.1385379362983301,0.016048902911774465,0.6101300424956997,0.0006181524440022803,-1.4767109375,0.002909639740237407
8,2.315385,0.7503984375,0.002425589389554368,1.306891530728151,0.04751696664039556,1.1575614177777944,0.0271141093954025,0.6025091579784634,0.0015874274152810834,-1.4445859375,0.0035566958612199234
8,2.342308,0.7297109374999999,0.002162397825440254,1.3890862732932645,0.026116219387597624,1.1715248604413817,0.00806208819611403,0.5936708742836501,0.0013168771541621912,-1.4100390624999999,0.004181862751719521
8,2.369231,0.70676953125,0.005279682355631553,1.5065240198850374,0.043199839537589074,1.1939088271828755,0.02486854347218712,0.582458357605228,0.0033360415559654764,-1.3752265625,0.006171553591314649
8,2.396154,0.683125,0.010490608011231412,1.6196646760548372,0.08853019954989079,1.201524253704385,0.017315981268232264,0.5691782390583262,0.006839620593703064,-1.3425937499999998,0.01142951394690516
8,2.423077,0.6669804687499999,0.011229111331008337,1.663067492219087,0.09439327762448999,1.1881383559370444,0.028706990910690067,0.5608746177326627,0.008121991380399804,-1.316421875,0.012482067214733538
8,2.45,0.6470703125,0.00959373409506011,1.7038957206632652,0.04868492087020333,1.1455640696584755,0.013758393185777965,0.5513545074727519,0.006715722042580575,-1.2865234374999999,0.010056004672854297
8,2.56,0.56066796875,0.002558218006761158,1.7917416152954098,0.02418854104197542,1.0388769841194152,0.03422405403645735,0.4923673900302217,0.0023125766768011765,-1.1623359375,0.000950527968009782
8,2.67,0.49419921875,0.007937202988722143,1.6170448779845503,0.044454871555465354,0.8448263121764928,0.023415813475170917,0.44420477909152284,0.009827928976788448,-1.0597265625,0.005564491172759551
8,2.78,0.43548437500000003,0.004252254112710396,1.4588876826663673,0.023620450838688987,0.7126142963776462,0.015429087852758627,0.38645479215607564,0.0063563660464568406,-0.9735859375,0.004211125923428153
8,2.89,0.3851953125,0.004623541524683087,1.2360006650086506,0.02328667181619858,0.569112403242897,0.01723004127079654,0.3343143905325291,0.006058839861733075,-0.8992890624999998,0.00472311341097888
8,3.0,0.35047265625,0.0013525951167310383,1.0759838085937503,0.01835743356069095,0.4791272465277778,0.013951525096564641,0.287862018964092,0.006618675877337882,-0.8439062500000001,0.0045982652129634705
16,1.6,0.97960546875,0.0004241205428451651,0.04543059204101141,0.006833089685428493,0.256652017211914,0.007383023345354156,0.6662883002679156,4.6359760493065536e-05,-1.92818359375,0.0011868123522993928
16,1.7,0.9698417968749999,0.000570857375629449,0.07342721277574907,0.00804217136446163,0.3468548740268167,0.005874748749284054,0.6660042471471701,5.988703673174439e-05,-1.8975781250000001,0.001474525297685845
16,1.8,0.9564111328125,0.0012573980750456091,0.13375473687065192,0.03317766941359132,0.44213169487847215,0.018250220801397925,0.6654357557210798,0.00021083204594521575,-1.858720703125,0.002556224302428508
16,1.9,0.93778515625,0.0004530323854705571,0.21865588096216987,0.018242904073875993,0.5636906910058864,0.010787839603098667,0.6644449971313158,0.00014654905655462312,-1.809158203125,0.0014496911607890497
16,2.0,0.9117832031249999,0.000536035859004475,0.35149159570312705,0.02036513328960126,0.705598296875,0.019172879091982523,0.6627034175699085,0.00017629262518114962,-1.745875,0.0018330595794667731
16,2.1,0.8657236328125,0.004532633287476256,1.1869338555617555,0.394554328257666,1.0004720787273242,0.08007921459082559,0.6553741163813638,0.00220103196297997,-1.6607890625000001,0.0027421708065731103
16,2.126923,0.8538857421875,0.00479313697923873,1.1119076451455676,0.3014257383737614,1.0409763683372117,0.08721059776829522,0.6542710781607585,0.002276131746980052,-1.635845703125,0.0028636429416421146
