n,t_star_theory,t_half_empirical,rel_err_half_vs_cutoff_time,window,window_over_n,chi_square_bound_gap,self_collapse_error
50,97.80057513570365,83.24046430450812,0.14887551336986085,61.17417690067621,1.2234835380135243,0.5165054404328087,0.03108096011244521
100,230.25850929940458,200.74183933401855,0.128189268901266,125.52757619735615,1.2552757619735615,0.5192789494099992,0.016531903599601327
200,529.8317366548036,470.50657939000797,0.11196980694164654,253.33673490364265,1.2666836745182133,0.5205205146982674,0.008568904992968251
400,1198.2929094215963,1079.3477681063434,0.09926215900974199,510.28935434986533,1.2757233858746633,0.5202642779077421,0.004702834757663976
800,2673.844691067171,2435.3265259296227,0.0892041957165254,1024.5518721871886,1.2806898402339857,0.5210183187880889,0.0019335709660566192
1600,5902.207126582298,5425.173157636654,0.08082298006743674,2052.6478322295425,1.282904895143464,0.5207962469550803,0.0007024883435771123
3200,12913.44974206051,11959.002219402835,0.07391111916043122,4110.007460426386,1.2843773313832458,0.5208109164281531,0.0
