sigma_w2,sigma_b2,q_star,chi1_theory,xi_c_theory,c_star_theory,phase,chi1_empirical_corr,c_inf_empirical,chi1_empirical_grad,max_trainable_depth
0.5,0.0,6.456645144671693e-15,0.49999999999999345,1.4426950408889363,-1.386234025226518e-18,ordered,0.9634594228004887,0.9995204390862454,0.49848370648703166,16
1.0,0.0,0.00025032686005376094,0.9994997844338002,1998.638065095687,0.0008185782034180644,ordered,0.9633836690282022,0.9995203563044595,0.9509152416008855,64
1.5,0.0,0.2868942293800094,1.0405675650324757,25.146920947301023,4.813173187545131e-07,chaotic,0.9682638857024441,0.9979298897366558,1.0360814452091962,64
2.0,0.0,0.6179647698746203,1.1055288179122416,9.967725626902878,1.0076104284042288e-11,chaotic,0.9695289665613145,0.8981041751634079,1.1044293842749717,48
2.5,0.0,0.9735741274124285,1.1729700125596356,6.268059666540567,6.35731660672351e-16,chaotic,0.9662499917518742,0.24365720150532444,1.169136479294981,64
3.0,0.0,1.3453936895169696,1.23878976216327,4.6699532759361,2.7845392623438297e-16,chaotic,0.9494166663100431,0.36058390000536517,1.2378523054571873,64
3.5,0.0,1.7289431279638983,1.3020151510342557,3.789124886697969,9.655077884550377e-17,chaotic,0.9388541529874265,-0.038995736918758295,1.299909467123594,64
0.5,0.0833,0.13847879886956602,0.40407753111647815,1.1035718628456919,0.9999999999999836,ordered,0.4178189388658591,1.0,0.39845217400396177,12
1.0,0.0833,0.263427433680055,0.7084767948434493,2.901595525236679,0.9999999999999648,ordered,0.7030701755331378,0.9999999999997058,0.6916755727606655,16
1.5,0.0833,0.48784041243776205,0.8955426052519171,9.064089146664767,0.9999999999999407,ordered,0.8963941544924472,0.9999996425821326,0.8764950152857811,32
2.0,0.0833,0.784522303577246,1.016850773453882,59.84306443668512,0.9264692755027694,chaotic,0.9454598056037675,0.9993513621533389,1.0142334443725907,32
